Username, Password,GoalA, SubA, BrkDwnA, TestsA, QuizzesA, ProjectsA, HomeworksA,GoalB, SubB, BrkDwnB, TestsB, QuizzesB, ProjectsB, HomeworksB,Goal C, SubC, BrkDwnC, TestsC, QuizzesC, ProjectsC, HomeworksC,GoalD, SubD, BrkDwnD, TestsD, QuizzesD, ProjectsD, HomeworksD,GoalE, SubE, BrkDwnE, TestsE, QuizzesE, ProjectsE, HomeworksE,GoalF, SubF, BrkDwnF, TestsF, QuizzesF, ProjectsF, HomeworksF,Goal G, SubG, BrkDwnG, TestsG, QuizzesG, ProjectsG, HomeworksG,Goal H, SubH, BrkDwnH, TestsH, QuizzesH, ProjectsH, HomeworksH,GoalI, SubI, BrkDwnI, TestsI, QuizzesI, ProjectsI, HomeworksI,GoalJ, SubJ, BrkDwnJ, TestsJ, QuizzesJ, ProjectsJ, HomeworksJ
Bob,1234567890,95,Physics,50.20.20.10.,98.87.81.92.95.,100.100.80.80.,100.,90.100.90.,95,PreCalculus,50.20.20.10.,60.80.77.92.95.,100.100.80.0.,50.,100.100.100.,94,English,60.20.10.10.,96.43.65.,76.56.90.99.,100.100.,80.90.100.,94,CS,60.20.10.10.,100.100.100.,100.100.100.100.,100.100.,100.100.100.,90,p,60.30.5.5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JimmyC,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JQA,Qwerty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asdf,zxcv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zxcv,asdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asdf,zxcv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
zxcv,asdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asdf,zxcv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
zxcv,asdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potato,yam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
french,fry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
